replay_version 2.1
stopped_at 730
seed 100
recorded_at 2025-03-01 19:05:52 -0600
[:key_held_player_one, 27, 0, 1, 124, 236]
[:key_held_player_one, 4, 0, 1, 125, 237]
[:key_held_player_one, 27, 0, 1, 126, 237]
[:key_held_player_one, 4, 0, 1, 127, 238]
[:key_held_player_one, 27, 0, 1, 128, 238]
[:key_held_player_one, 4, 0, 1, 129, 239]
[:key_held_player_one, 27, 0, 1, 130, 239]
[:key_held_player_one, 4, 0, 1, 131, 240]
[:key_held_player_one, 27, 0, 1, 132, 240]
[:key_held_player_one, 4, 0, 1, 133, 241]
[:key_held_player_one, 27, 0, 1, 134, 241]
[:key_held_player_one, 4, 0, 1, 135, 242]
[:key_held_player_one, 27, 0, 1, 136, 242]
[:key_held_player_one, 4, 0, 1, 137, 243]
[:key_held_player_one, 27, 0, 1, 138, 243]
[:key_held_player_one, 4, 0, 1, 139, 244]
[:key_held_player_one, 27, 0, 1, 140, 244]
[:key_held_player_one, 4, 0, 1, 141, 245]
[:key_held_player_one, 27, 0, 1, 142, 245]
[:key_held_player_one, 4, 0, 1, 143, 246]
[:key_held_player_one, 27, 0, 1, 144, 246]
[:key_held_player_one, 4, 0, 1, 145, 247]
[:key_held_player_one, 27, 0, 1, 146, 247]
[:key_held_player_one, 4, 0, 1, 147, 248]
[:key_held_player_one, 27, 0, 1, 148, 248]
[:key_held_player_one, 4, 0, 1, 149, 249]
[:key_held_player_one, 27, 0, 1, 150, 249]
[:key_up_player_one, 4, 0, 1, 151, 250]
[:key_up_player_one, 27, 0, 1, 152, 250]
[:key_down_player_one, 4, 0, 1, 153, 306]
[:key_down_player_one, 27, 0, 1, 154, 306]
[:key_held_player_one, 4, 0, 1, 155, 307]
[:key_held_player_one, 27, 0, 1, 156, 307]
[:key_held_player_one, 4, 0, 1, 157, 308]
[:key_down_player_one, 15, 0, 1, 158, 308]
[:key_held_player_one, 27, 0, 1, 159, 308]
[:key_held_player_one, 4, 0, 1, 160, 309]
[:key_held_player_one, 15, 0, 1, 161, 309]
